tid,text,likes,retweets
987904749868642305,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
987900278442680321,RT @h_cleaver: Sharpie the new grey hair treatment and back tattoo tonight at the #crossborderhackathon @stoneandchalk #nab #Alibaba https:…,0,1
987898473700732930,RT @ChinaDailyUSA: Alibaba opened its first physical store for cross-border e-commerce platform Tmall Global in its headquarters in Hangzho…,0,17
987892515347906561,"#JackMa 10 Rules for Success #Alibaba

#CES https://t.co/lI2j7XIPNT",1,0
987890419018022912,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
987886209925046272,RT @systweak: How will AR Refashion E-commerce? https://t.co/NrPV20vrA5 #AR #ecommerce #Amazon #VR #eBay #alibaba #Apple #ARKit #vio #ARApp…,0,2
987881598002479104,"@Rajprasong_News Ma also freely gives China govt customer names, etc. &amp; doesn't give a damn about fake products on… https://t.co/klKVFDx4qb",0,0
987877628660109312,"#Alibaba joins #Google, others in making custom #AI chips https://t.co/FvNpiOKzQo",0,0
987874675404369920,@nixoxuma @ChinaDailyUSA I'm not sure if #Alibaba comes out declaring itself as a state enterprise tomorrow things will not change.,0,0
987873593857007616,RT @systweak: How will AR Refashion E-commerce? https://t.co/NrPV20vrA5 #AR #ecommerce #Amazon #VR #eBay #alibaba #Apple #ARKit #vio #ARApp…,0,2
987868745665310720,"RT @startups_observ: Do you know the huge japanese investor in #Uber #Didi #Alibaba and #Wework? 

What is Softbank? | @CNBC  Explains - Yo…",0,4
987866163391672320,"RT @startups_observ: Do you know the huge japanese investor in #Uber #Didi #Alibaba and #Wework? 

What is Softbank? | @CNBC  Explains - Yo…",0,4
987864314617913344,@nixoxuma @ChinaDailyUSA That's new about #Alibaba being an extension to the Communist party . If that's the case r… https://t.co/JopArFXPVg,0,0
987861384284246016,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
987859183671435265,RT @SavageDarkhorse: Chinese will always support and back another Chinese Company. Especially in today's market climate against another U.S…,0,4
987858843458854912,RT @ChinaDailyUSA: Alibaba opened its first physical store for cross-border e-commerce platform Tmall Global in its headquarters in Hangzho…,0,17
987858541523406848,Alibaba - How To Make Huge Margins Importing Products : https://t.co/VvUn40g5Rh #business #alibaba #MOOC #elearning #MOOCs #onlinecourses,0,0
987858526042296326,"Do you know the huge japanese investor in #Uber #Didi #Alibaba and #Wework? 

What is Softbank? | @CNBC  Explains -… https://t.co/WBN7LR8d1P",2,4
987854898980179968,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
987851773778931712,"https://t.co/T0bgeyOCdu Bothbest has a new online store: https://t.co/fx10LVgPA4, all customers can order bamboo fl… https://t.co/9R1QgsvdQw",0,0
987848820980625408,"RT @JimMarous: WeChat: The Future of Banking Ecosystems is Moving West

https://t.co/39tH9mX7Rk

New from @stratorob 
#banking #fintech #We…",0,112
987834804342177792,"Retweeted Tamara McCleary (@TamaraMcCleary):

#Alibaba is developing its own #AI chips, too https://t.co/seZLM8lUXz… https://t.co/u0NTQabeib",0,0
